lkw_id,driver,status,motor_temp_c,brake_fluid_pct,oil_pressure_bar,tire_fl_bar,tire_fr_bar,rul_hours,km_total,load_pct,engine_rpm,fuel_pressure_bar,oil_temp_c
LKW-01,M. Weber,KRITISCH,81.2,49.7,4.25,8.3,8.3,12,255456,37.2,1056.0,10.3,77.0
LKW-02,J. Bauer,KRITISCH,78.3,42.0,1.43,7.5,7.4,72,521010,49.8,1009.0,5.57,82.2
LKW-03,S. Klein,WARNUNG,77.6,54.0,4.2,6.6,6.6,144,653478,52.2,830.0,6.83,80.5
LKW-04,T. Holm,OK,75.6,67.9,3.03,6.9,6.9,984,569651,25.8,941.0,5.62,78.9
LKW-05,A. Graf,WARNUNG,89.9,62.8,3.34,8.2,8.2,528,173125,72.3,844.0,2.7,76.7
LKW-06,P. Roth,OK,85.8,70.0,2.48,7.6,7.5,1272,402670,74.8,795.0,9.76,77.1
LKW-07,K. Lang,KRITISCH,84.7,27.7,4.13,7.9,7.9,12,305536,75.2,940.0,2.26,76.2
LKW-08,F. Wolf,KRITISCH,78.7,41.2,1.91,8.1,8.3,12,190573,70.4,950.0,7.22,81.3
LKW-09,R. Vogel,WARNUNG,74.2,66.4,4.18,8.0,8.1,96,253069,84.2,678.0,6.56,82.1
LKW-10,H. Stein,KRITISCH,82.4,31.4,3.44,8.7,8.7,12,183330,38.3,1367.0,0.0,75.4
